anlaegsbetydning,en_anlaegsbetydning,fa-icon,counts,most_frequent_datering,datering_distributions,definition,web_search_sources
Genforeningssten,Reunion stone,icons,644,Nyere tid,"{'Nyere tid': 642, 'Historisk Tid': 2}","En genforeningssten er et mindesmærke, der er opført til minde om genforeningen mellem Sønderjylland og Danmark i 1920.",['https://community.openstreetmap.org/t/name-subject-pa-mindesmaerker/111942']
Saltudvinding,Salt extraction,tractor,638,Nyere tid,"{'Nyere tid': 622, 'Historisk Tid': 9, 'Middelalder': 4, 'Udateret': 2, 'Efterreformatorisk tid': 1}","Saltudvinding er et sted hvor der blev produceret salt, enten ved minedrift eller ved at inddampne saltvand, og som ofte indeholder rester af produktionen.","['https://trap.lex.dk/Saltudvinding,_Vester%C3%B8', 'https://da.wikipedia.org/wiki/Wikipedia:Wiki_Loves_Monuments_2011/Fund_og_fortidsminder']"
Brolægning,Building,building,620,Jernalder,"{'Jernalder': 162, 'Historisk Tid': 143, 'Middelalder': 110, 'Nyere tid': 85, 'Oldtid': 49, 'Udateret': 31, 'Efterreformatorisk tid': 16, 'Stenalder': 10, 'Bronzealder': 7, 'Vikingetid': 7}","En brolægning er et sted hvor der blev produceret bær, f.eks. æbler, pærer eller frukter, og som ofte indeholder rester af træerne og planterne.","['https://mfkn.naevneneshus.dk/afgoerelse/12c6e344-8be3-423d-84d4-a9973447257a', 'https://slks.dk/arkaeologisk-strategier/yngre-stenalder-3900-1800-fkr/grave']"
Skelet,Skeleton,lemon,619,Oldtid,"{'Oldtid': 273, 'Udateret': 133, 'Stenalder': 106, 'Jernalder': 56, 'Historisk Tid': 22, 'Bronzealder': 12, 'Middelalder': 7, 'Nyere tid': 7, 'Vikingetid': 2, 'Efterreformatorisk tid': 1}","Et skelet er et menneskeligt eller dyreligt gebiskorps, der ofte bliver fundet som et fortidsminde og kan give os oplysninger om en væsens alder, køn og stamtræ.","['https://tulsareparations.z19.web.core.windows.net/Skeletons.htm', 'https://en.wikipedia.org/wiki/Artifact_(archaeology)']"
Dyrkningsspor,Cultivation tracks,truck,600,Oldtid,"{'Oldtid': 270, 'Stenalder': 86, 'Historisk Tid': 85, 'Jernalder': 66, 'Bronzealder': 34, 'Nyere tid': 21, 'Udateret': 20, 'Middelalder': 14, 'Vikingetid': 3, 'Efterreformatorisk tid': 1}","Dyrkningsspor er rester af menneskelig landbrug og jordbrug aktivitet, såsom ældre marker, terrasser og anlæg, der giver os indsigt i hvordan vores forfædre brugte landet til matproduktion og hvile.","['https://www.academia.edu/10341617/Dyrkningsspor_i_landskabet_In_search_of_Celtic_fields_in_Scania_', 'https://www.sciencedirect.com/science/article/pii/0278416582900137', 'https://search.proquest.com/openview/a3b9cfcfe112a71ca53f07f58ef10b46/1?pq-origsite=gscholar&cbl=1818741']"
Bro,Bridge,gem,579,Nyere tid,"{'Nyere tid': 299, 'Historisk Tid': 183, 'Udateret': 56, 'Middelalder': 23, 'Vikingetid': 8, 'Jernalder': 5, 'Efterreformatorisk tid': 3, 'Oldtid': 2}","En bro er et konstruktion, der forbinder to områder, f.eks. to kystområder eller to sider af en flod, og som er bygget af træ, sten eller beton.","[""https://www.researchgate.net/publication/321038721_Unexpected_relic_-_a_unique_relief_brooch_from_Radziejow_decorated_in_Salin's_Animal_Style_I""]"
Stenlægning/stensamling,Building/Brick Collection,building,566,Oldtid,"{'Oldtid': 351, 'Bronzealder': 84, 'Stenalder': 73, 'Jernalder': 52, 'Vikingetid': 3, 'Udateret': 2, 'Nyere tid': 1}","En stenlægning eller stensamling er et stenalderkonstruktion, der består af en række stængte sten, og som kan have fungeret som et gravmonument eller til religiøse formål.","['https://trap.lex.dk/Stenl%C3%A6gning/Stensamling,_Grish%C3%B8jg%C3%A5rds_Krat', 'https://trap.lex.dk/Stenl%C3%A6gning/Stensamling,_Radsted', 'https://fortidsmindeguide.dk/tidsalder/middelalder/talende-sten-vejpligtsten', 'https://www.danskskovforening.dk/nyhed/kulturarvsstyrelsen-overtager-tilsyn-med-fredede-fortidsminder-samt-sten-og-jorddiger/']"
Voldgrav,Gravity,grav,552,Historisk Tid,"{'Historisk Tid': 435, 'Middelalder': 53, 'Efterreformatorisk tid': 28, 'Udateret': 12, 'Jernalder': 11, 'Nyere tid': 6, 'Vikingetid': 6, 'Stenalder': 1}","En voldgrav er en grav, hvor den døde er blevet begravet i en kiste, som er sat ned i en dyb jordgrav, ofte med et væld af genstande.",['https://da.wikipedia.org/wiki/%C3%86r%C3%B8']
Metal,Metal,medal,547,Jernalder,"{'Jernalder': 192, 'Bronzealder': 162, 'Middelalder': 68, 'Udateret': 49, 'Oldtid': 26, 'Historisk Tid': 19, 'Vikingetid': 13, 'Nyere tid': 11, 'Efterreformatorisk tid': 7}","Metal er et vigtigt materiale, der ofte er forbundet med fortidsminder, som våben, smykker, penge og andre artefakter, og som kan give os unik viden om historiske kulturer og deres håndværk.","['https://da.wikipedia.org/wiki/Metaldetektor', 'https://e-skilte.dk/skilt/infoskilte/naturstyrelsens-skilte/sevaerdigheder-og-naturoplevelser/fortidsminde-skilt-naturstyrelsen/', 'https://www.avxperten.dk/blog/metaldetektor-regler-guide/', 'https://www.mitfund.dk/tips/metaldetektor_regler']"
Dyreben,Animal bones,bone,541,Stenalder,"{'Stenalder': 201, 'Oldtid': 135, 'Udateret': 116, 'Jernalder': 38, 'Nyere tid': 15, 'Historisk Tid': 13, 'Bronzealder': 11, 'Middelalder': 7, 'Vikingetid': 4, 'Efterreformatorisk tid': 1}","Dyreben er kødsresterne fra dyr, som f.eks. heste, koer eller andre dyr, som er blevet spist af mennesker i fortiden.","['https://viborg-folkeblad.dk/rundtomviborg/kommunen-siger-ja-fortidsminde-spaender-ikke-ben-for-solceller-og-laeskure', 'https://trap.lex.dk/Magleh%C3%B8i', 'https://slks.dk/omraader/kulturarv/information-til-ejere-/-brugere/det-maa-du-paa-fortidsminder', 'https://fortidsmindeguide.dk/tidsalder/bonde-stenalder/om-jaettestue']"
Grøft (afvanding),Ditch (dewatering),ring,532,Udateret,"{'Udateret': 135, 'Nyere tid': 132, 'Historisk Tid': 108, 'Middelalder': 79, 'Jernalder': 30, 'Oldtid': 27, 'Bronzealder': 8, 'Efterreformatorisk tid': 8, 'Vikingetid': 3, 'Stenalder': 2}","En grøft er et gravet hul i jorden, som kan have fungeret som afvanding eller til at markere en grænse, og som ofte er kendetegnet ved sine smalle målinger.","['https://trap.lex.dk/Gr%C3%B8ft_(afvanding),_mv.,_Skjern%C3%A5_N%C3%B8rrekanal', 'https://trap.lex.dk/Gr%C3%B8ft_(afvanding),_mv.,_Skjern%C3%A5_N%C3%B8rrekanal_-_%232', 'https://slks.dk/omraader/kulturarv/arkaeologi-fortidsminder-og-diger/arkaeologi-paa-land/arkaeologiske-strategier/middelalder-landbebyggelse-1050-1536-ekr/administrative-graenser', 'https://museumodense.dk/indlaeg/fyns-trediestoerste-fortidsminde/']"
Brandgrav i stenkiste,Fire pit in stone coffin,fire,472,Bronzealder,"{'Bronzealder': 386, 'Oldtid': 72, 'Jernalder': 12, 'Stenalder': 2}","En brandgrav i stenkiste er en grav, hvor den døde er blevet brændt og begravet i en stenkiste, som er dækket af en vældig dæksten.","['https://trap.lex.dk/stenkiste', 'https://sites.google.com/view/denlilledanmarkshistorie/danmarks-historie/bronze-og-jernalder']"
Højsagn,High-sounding,digg,454,Historisk Tid,"{'Historisk Tid': 337, 'Nyere tid': 113, 'Middelalder': 2, 'Efterreformatorisk tid': 1, 'Oldtid': 1}","En højsagn er et stenalderkonstruktion, der består af en opretstående sten, som er sat op på en eller flere andre sten, og som kan have fungeret som et gravmonument eller til religiøse formål.","['https://trap.lex.dk/Rundh%C3%B8j,_mv.,_Korvsh%C3%B8i', 'https://trap.lex.dk/Langh%C3%B8j,_mv.,_Dj%C3%A6vleh%C3%B8i', 'https://www.yumpu.com/da/document/view/23991831/klassifikation-af-anlag-centralregistrering-11-1-kulturstyrelsen']"
Befæstning,Fortification,at,449,Nyere tid,"{'Nyere tid': 203, 'Historisk Tid': 118, 'Middelalder': 65, 'Efterreformatorisk tid': 26, 'Jernalder': 11, 'Vikingetid': 11, 'Udateret': 8, 'Stenalder': 7}","En befæstning er et militært fæstningsværk, som f.eks. et slot eller et fæstningsanlæg, som er bygget til forsvar og beskyttelse, og som ofte er placeret på et strategisk sted.","['https://slks.dk/fortidsminder/koebenhavns-befaestning', 'https://slks.dk/omraader/kulturarv/beskyttede-fortidsminder/beskyttelseslinje-for-fortidsminder', 'https://trap.lex.dk/Bef%C3%A6stning,_F%C3%A6stningskanalen_-_%233', 'https://trap.lex.dk/Bef%C3%A6stning,_Ermelunden', 'https://www.geoparkoehavet.dk/oplev-geoparken/udforsk/fortidsminder']"
Fyldskifte (uspecificeret),Fill change (unspecified),fill,412,Oldtid,"{'Oldtid': 106, 'Udateret': 89, 'Nyere tid': 62, 'Stenalder': 57, 'Jernalder': 41, 'Historisk Tid': 34, 'Bronzealder': 15, 'Efterreformatorisk tid': 4, 'Middelalder': 2, 'Vikingetid': 2}","Et fyldskifte er et sted, hvor der har været menneskelig aktivitet, og hvor der er blevet fyldt op med jord eller andet materiale, og som kan indeholde spor af menneskelig aktivitet.","['https://trap.lex.dk/.taxonomy/4672', 'https://lokalplaner.horsens.dk/udvidelse-af-biogasanlaeg-raadved-horsens-1/andre-planer-love/tilladelser-fra-andre-myndigheder/', 'https://da.wikipedia.org/wiki/Wikipedia:Wiki_Loves_Monuments_2011/Fund_og_fortidsminder', 'https://frydenlundsarup.wordpress.com/2012/10/02/udgravning-er-ved-at-slutte/']"
Baunehøj,BaunehÃ¸j,burn,410,Historisk Tid,"{'Historisk Tid': 379, 'Oldtid': 14, 'Nyere tid': 12, 'Udateret': 5}","En baunehøj er et sted, hvor der i middelalderen blev tændt bål til at advare mod faresituationer, f.eks. angreb fra fjender.","['https://en.wikipedia.org/wiki/Ejer_Bavneh%C3%B8j', 'https://denstoredanske.lex.dk/bavneh%C3%B8j', 'https://virtualmountains.co.uk/esc/Denmark/DK_Info.html', 'https://www.danmarkssmukkeste.com/skanderborg/plan-your-trip/ejer-bavnehoj-mollehoj-denmarks-highest-point-gdk604342', 'https://krydsordexperten.dk/krydsord/baunehoej']"
Tegl,Tegl,drum-steelpan,377,Nyere tid,"{'Nyere tid': 162, 'Historisk Tid': 127, 'Middelalder': 73, 'Efterreformatorisk tid': 8, 'Udateret': 7}","Tegl er et materiale, der er blevet brugt til at dække tag og gulve i fortiden, og som ofte er fundet i ruiner af bygninger.","['https://elgaardarchitecture.com/project/soeminedepotet/', 'https://www.ft.dk/samling/20081/almdel/mpu/bilag/856/736607.pdf']"
Krigergrav,Warrior Grave,grav,370,Nyere tid,"{'Nyere tid': 363, 'Udateret': 4, 'Efterreformatorisk tid': 1, 'Middelalder': 1, 'Stenalder': 1}","En krigergrav er en grav, hvor en kriger (en person der kæmper i en krig) er blevet begravet, ofte med våben og andre krigsmateriel.","['https://en.wiktionary.org/wiki/krig', 'https://ordnet.dk/ddo/ordbog?query=kriger', 'https://denstorekrig1914-1918.dk/listerlitteraturlinks/danes-in-the-german-army-1914-1918/']"
Tuegrav,Tuegrave,grav,366,Jernalder,"{'Jernalder': 309, 'Oldtid': 50, 'Bronzealder': 3, 'Stenalder': 2, 'Udateret': 1, 'Vikingetid': 1}","En tuegrav er en grav, hvor der er flere ringgrøfter oven i hinanden, og som kan indeholde spor af flere begravelser.","['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11132521/', 'https://vardemuseerne.dk/tuegrave-eller-hvad/']"
Helleristning/billedsten,Rockstone/Picture stone,rocket,350,Bronzealder,"{'Bronzealder': 264, 'Oldtid': 69, 'Nyere tid': 7, 'Historisk Tid': 3, 'Jernalder': 2, 'Middelalder': 2, 'Vikingetid': 2, 'Stenalder': 1}","En helleristning er et stenalderkonstruktion, der består af en eller flere store sten, der er gravet med figurer eller symboler, og som kan have fungeret som et gravmonument eller til religiøse formål.","['https://www.degruyter.com/database/GAO/entry/RGA-E114_2/html?lang=en', 'https://www.academia.edu/1212615/Stone_ships_continuity_and_change_in_Scandinavian_prehistory']"
Vrag,Wreck,wrench,348,Oldtid,"{'Oldtid': 68, 'Udateret': 66, 'Nyere tid': 51, 'Stenalder': 48, 'Historisk Tid': 38, 'Middelalder': 31, 'Jernalder': 25, 'Efterreformatorisk tid': 10, 'Vikingetid': 10, 'Bronzealder': 1}","En vrag er et stenalderkonstruktion, der består af to store sten, der er sat op på hinanden, og som kan have fungeret som et gravmonument eller til religiøse formål.","['https://www.folketingstidende.dk/samling/20001/lovforslag/L152/20001_L152_som_fremsat.pdf', 'http://webarkiv.ft.dk/?/Samling/20001/lovforslag_som_fremsat/L152.htm']"
Grøft (skel),Ditch (disc),dice,328,Udateret,"{'Udateret': 121, 'Historisk Tid': 71, 'Middelalder': 51, 'Jernalder': 42, 'Nyere tid': 22, 'Oldtid': 15, 'Vikingetid': 3, 'Efterreformatorisk tid': 2, 'Bronzealder': 1}","En grøft er et smalt vandløb, der kan være enten naturligt eller kunstigt, og som ofte er kendetegnet ved sine tørre betingelser.","['https://mfkn.naevneneshus.dk/nyhed/d9e5f01e-68c9-45f2-a4e1-7516325bc38f?highlight=nomo%20147', 'https://da.wikipedia.org/wiki/Hegn']"
Skanse,Scanning,ring,321,Nyere tid,"{'Nyere tid': 186, 'Historisk Tid': 118, 'Efterreformatorisk tid': 8, 'Udateret': 5, 'Middelalder': 4}","En skanse er et militært fæstningsværk, der er bygget til forsvar og beskyttelse, og som ofte er placeret på et strategisk sted, f.eks. ved en havn eller en grænse.","['https://grunddatamodel.datafordeler.dk/objekttypekatalog/Stednavne/Fortidsminde.html', 'https://da.wikipedia.org/wiki/Dannevirke']"
"Tro og tradition, uspec undergruppe","Faith and tradition, unspecified subgroup",d-and-d,311,Historisk Tid,"{'Historisk Tid': 179, 'Nyere tid': 83, 'Middelalder': 12, 'Udateret': 10, 'Jernalder': 9, 'Oldtid': 7, 'Stenalder': 6, 'Bronzealder': 3, 'Efterreformatorisk tid': 2}","Tro og tradition er et bredt begreb, som dækker religiøse og kulturelle tro og praktiker, som f.eks. begravelsesritualer, helligdomme og andre spirituelle sted.","['https://trap.lex.dk/Sagnsten,_Troldesten', 'https://fortidsmindeguide.dk/baggrundshistorie/vikingetiden', 'https://trap.lex.dk/Sagnsten,_Troldstenen,_R%C3%B8', 'https://www.museerne.dk/arkaeologi/']"
Begravelsesplads,Funeral site,sith,303,Jernalder,"{'Jernalder': 150, 'Oldtid': 39, 'Nyere tid': 33, 'Historisk Tid': 27, 'Bronzealder': 17, 'Stenalder': 12, 'Middelalder': 10, 'Vikingetid': 10, 'Udateret': 4, 'Efterreformatorisk tid': 1}","En begravelsesplads er et sted, hvor de døde bliver begravet, og som ofte er placeret på et sted med særlig betydning, f.eks. et kirkegård eller et helligdomssted.","['https://da.wikipedia.org/wiki/Gravh%C3%B8j', 'https://trap.lex.dk/Begravelsesplads,_H%C3%B8jstrup', 'https://fortidsmindeguide.dk/tidsalder/middelalder/rubjerg-kirkegaard', 'https://grunddatamodel.datafordeler.dk/objekttypekatalog/Stednavne/Fortidsminde.html']"
Kilometersten,Kilometers,om,300,Nyere tid,{'Nyere tid': 300},"En kilometersten er et sted, der markerer et bestemt punkt i et land, typisk i hovedstaden, og som er udgangspunktet for måling af afstande i landet.","['https://en.wikipedia.org/wiki/Kilometre_zero', 'https://runkeeper.com/cms/training/your-top-10k-training-questions-answered/', 'https://www.quora.com/How-many-military-klicks-are-in-a-mile-How-did-this-word-start-being-used', 'https://dictionary.cambridge.org/us/dictionary/english/milestone']"
Kultanlæg,Cult plant,plane,300,Stenalder,"{'Stenalder': 112, 'Jernalder': 96, 'Oldtid': 47, 'Bronzealder': 34, 'Udateret': 5, 'Vikingetid': 5, 'Middelalder': 1}","Et kultanlæg er et sted, hvor der har været religiøs aktivitet, og hvor der ofte er fundet genstande som f.eks. offergave, helligdomme og andre spirituelle genstande.",['https://trap.lex.dk/Store_Kongeh%C3%B8j']
Stammekiste,Trimming coffin,ring,288,Bronzealder,"{'Bronzealder': 247, 'Stenalder': 23, 'Oldtid': 10, 'Jernalder': 7, 'Vikingetid': 1}","En stammekiste er en kiste, der er lavet af træstamme, og som ofte er brugt til at opbevare genstande eller til at begrave de døde.","['https://www.yumpu.com/da/document/view/23991831/klassifikation-af-anlag-centralregistrering-11-1-kulturstyrelsen', 'https://www.academia.edu/1372966/Tidligkristne_begravelser_ved_Ribe_Domkirke', 'https://www.researchgate.net/profile/Andreas_Rau3/publication/331382211_Review_Sosdala_KUML_2018/links/5c769c2b299bf1268d2ae01d/Review-Soesdala-KUML-2018.pdf']"
Vejmærke,Roadmark,ad,275,Nyere tid,"{'Nyere tid': 248, 'Historisk Tid': 22, 'Udateret': 5}","Et vejmarke er et sted, hvor der har været en vej, og som ofte er kendetegnet ved sine marker, f.eks. milepæle, sten eller andre konstruktioner.",['https://archive.org/stream/uglen119081909salo/uglen119081909salo_djvu.txt']
Vejkiste,Road chest,ad,272,Nyere tid,"{'Nyere tid': 200, 'Historisk Tid': 47, 'Udateret': 24, 'Efterreformatorisk tid': 1}","En vej er et transportmiddel fra fortiden, som f.eks. en sti, en vej eller en vej, som ofte er bygget af sten eller andre materialer.","['https://trap.lex.dk/Vejkiste,_M%C3%B8lb%C3%A6k', 'https://slks.dk/arkaeologisk-strategier/bronzealder-1800-500-fkr/gravfund']"
"Militærvæsen, uspec undergruppe","Military services, unspecified subgroup",amilia,254,Nyere tid,"{'Nyere tid': 236, 'Historisk Tid': 7, 'Middelalder': 4, 'Udateret': 3, 'Jernalder': 2, 'Oldtid': 2}","Militærvæsen er et sted, hvor der har været militær aktivitet, og som ofte er kendetegnet ved sine fæstningsværker, befæstninger og andre militære konstruktioner.","['https://trap.lex.dk/Milit%C3%A6rv%C3%A6sen,_uspec_undergruppe,_Edelgave', 'https://trap.lex.dk/Milit%C3%A6rv%C3%A6sen,_uspec_undergruppe,_Edelgave_Hovedg%C3%A5rd', 'https://da.wikipedia.org/wiki/Fredede_fortidsminder_i_Thisted_Kommune_(A-R)', 'https://da.wikipedia.org/wiki/Wikipedia:Wiki_Loves_Monuments_2011/Fund_og_fortidsminder']"
Urnegrav (stenomsat),Urnegrave (stoned),grav,253,Bronzealder,"{'Bronzealder': 165, 'Oldtid': 65, 'Jernalder': 23}","Et urnegrav er en begravelsessted, hvor den dødes brændte skeletrester er blevet nedlagt i en urne, som er omsat af en stenkiste og begravet i jorden.",['https://archive.org/stream/aarbgerfornord1875norduoft/aarbgerfornord1875norduoft_djvu.txt']
Ødekirke,Destroyed Church,church,250,Historisk Tid,"{'Historisk Tid': 137, 'Middelalder': 102, 'Udateret': 10, 'Vikingetid': 1}","En Ødekirke er en kirke, som er bygget af træ, og som ofte er placeret på et landligt sted, hvor den fungerer som et lokalt samlingspunkt for befolkningen.","['https://www.ancestry.com/name-origin?surname=odekirk', 'https://discover.23andme.com/last-name/Odekirk', 'https://www.igenea.com/en/surnames/o/odekirk', 'https://www.howtopronounce.com/odekirk']"
Hjulspor,Wheel tracks,truck,242,Udateret,"{'Udateret': 122, 'Historisk Tid': 53, 'Nyere tid': 25, 'Oldtid': 13, 'Middelalder': 12, 'Jernalder': 10, 'Stenalder': 3, 'Efterreformatorisk tid': 2, 'Bronzealder': 1, 'Vikingetid': 1}","Et hjulspor er et spor, der er blevet lavet af en vogn eller andet køretøj, og som ofte er kendetegnet ved sine dybe hule i jorden.","['https://trap.lex.dk/Hjulspor,_Nybro_M%C3%B8llevej', 'https://fortidsmindeguide.dk/tidsalder/bronzealder/harbovad-hulveje', 'https://trap.lex.dk/Hjulspor,_Stenr%C3%B8gel', 'https://fortidsmindeguide.dk/tidsalder/middelalder/stenholt-krat']"
Dyrefold,Animal fold,folder,236,Nyere tid,"{'Nyere tid': 110, 'Historisk Tid': 68, 'Udateret': 41, 'Oldtid': 7, 'Jernalder': 6, 'Bronzealder': 4}","Et dyrefold er et sted, hvor der har været dyr, f.eks. svin, køer eller får, og som ofte er kendetegnet ved sine indhegninger, foderpladser og andre relaterede konstruktioner.","['https://ordnet.dk/ddo/ordbog?query=dyrehold', 'https://da.bab.la/ordbog/dansk-engelsk/dyrehold', 'https://da.wikipedia.org/wiki/%C3%98dis', 'https://www.landbrugsinfo.dk/public/8/9/7/grise_areal_foldstorrelse_svin_friland']"
Vandmølle,Water mill,at,228,Historisk Tid,"{'Historisk Tid': 107, 'Middelalder': 58, 'Nyere tid': 42, 'Efterreformatorisk tid': 15, 'Vikingetid': 3, 'Udateret': 2, 'Jernalder': 1}","En vandmølle er et sted hvor der blev produceret mel, som er drevet af vandkraft, og som ofte er kendetegnet ved sine store hjul og andre mekaniske konstruktioner.","['https://en.bab.la/dictionary/danish-english/vandm%C3%B8lle', 'https://m.dict.cc/danish-english/vandm%C3%B8lle.html', 'https://ordnet.dk/ddo/ordbog?query=vandm%C3%B8lle', 'https://en.wiktionary.org/wiki/m%C3%B8lle']"
Beskyttelsesanlæg,Protection system,steam,226,Nyere tid,"{'Nyere tid': 223, 'Middelalder': 1, 'Oldtid': 1, 'Vikingetid': 1}","Et beskyttelsesanlæg er et militært fæstningsværk, der er bygget til forsvar og beskyttelse, og som ofte er placeret på et strategisk sted, f.eks. ved en grænse eller en havn.","['https://www.lawinsider.com/da/clause/beskyttelse-beskyttelsesanl%C3%A6g-samlet-btbessam', 'https://t-shop-kier.azurewebsites.net/produkter/DROPSON-ANTIKALK-BESKYTTELSES-ANL-G-T-BRUGSVAND-1-MAX-4-5M3-H-ART-EMI4000_6399921040', 'https://www.energy-supply.dk/procurement/view/154715/rfi_katodisk_beskyttelse_og_naerforing']"
Helligkilde,Holy Source,sort,212,Historisk Tid,"{'Historisk Tid': 169, 'Middelalder': 31, 'Nyere tid': 5, 'Efterreformatorisk tid': 2, 'Jernalder': 2, 'Udateret': 2, 'Bronzealder': 1}","En helligkilde er et sted, hvor der har været religiøs aktivitet, og som ofte er kendetegnet ved sine kilder, helligdomme og andre spirituelle genstande.","[""https://www.researchgate.net/publication/260953749_Illuminating_the_Late_Mesolithic_Residue_analysis_of_'blubber'_lamps_from_Northern_Europe""]"
Herregårdsanlæg/Slot,Men's farm facilities/Slot,stripe-s,211,Historisk Tid,"{'Historisk Tid': 128, 'Middelalder': 37, 'Nyere tid': 27, 'Efterreformatorisk tid': 19}","Et herregårdsanlæg eller slot er et stort gårdanlæg, der har tilhørt en adelsmand, og som ofte er kendetegnet ved sine store udbygninger, f.eks. småhuse, forpagterboliger og andre tilbehør.","['https://trap.lex.dk/Herreg%C3%A5rdsanl%C3%A6g/Slot,_mv.,_%C3%85strup', 'https://trap.lex.dk/Herreg%C3%A5rdsanl%C3%A6g/Slot,_mv.,_Antvorskov_kloster', 'https://kommuneplan21.jammerbugt.dk/retningslinjer_old/kulturhistorie/kulturmiljoeer/kokkedal-slot/', 'https://historiskehuse.dk/de-17-herregaarde/']"
Rettersted,Rectangular location,angular,210,Historisk Tid,"{'Historisk Tid': 168, 'Nyere tid': 38, 'Middelalder': 3, 'Efterreformatorisk tid': 1}","Et rettersted er et sted, hvor der har været rettenspleje, og som ofte er kendetegnet ved sine særlige konstruktioner, f.eks. et skafott eller et andet sted, hvor der er blevet udført henrettelser.","['https://no.wikipedia.org/wiki/Galgeberg_(str%C3%B8k)', 'https://en.wiktionary.org/wiki/g%C3%A6stefred', 'https://no.wikipedia.org/wiki/Skafott', 'https://ordnet.dk/ddo/ordbog?query=rettighed']"
Vandledning,Water main,at,208,Historisk Tid,"{'Historisk Tid': 125, 'Nyere tid': 59, 'Middelalder': 12, 'Efterreformatorisk tid': 11, 'Udateret': 1}","En vandledning er et sted hvor der blev produceret vand, som er drevet af vandkraft, og som ofte er kendetegnet ved sine store hjul og andre mekaniske konstruktioner.","['https://mfkn.naevneneshus.dk/afgoerelse/2476209c-a5b3-4592-9374-8a111c817dc7', 'https://da.wikipedia.org/wiki/Fredede_fortidsminder_i_Gentofte_Kommune', 'https://trap.lex.dk/Hov_Kirkeruin']"
Vildtbaneafmærkning,Wild game marking,parking,204,Nyere tid,"{'Nyere tid': 177, 'Historisk Tid': 27}","En vildtbaneafmærkning er et område, hvor der har været jagt, og som er fredet for at bevare det naturlige miljø og de vilde dyr.","['https://trap.lex.dk/Vildtbaneafm%C3%A6rkning,_Broagerg%C3%A5rd', 'https://trap.lex.dk/Vildtbaneafm%C3%A6rkning,_Labing_Vandm%C3%B8lle', 'https://kommuneplan2021.horsens.dk/tillaeg/2021-12-tematillaeg-for-landsbyerne/opslagsvaerk-over-fremtidige-muligheder-i-landsbyerne/elling/']"
Røse,Shrimps and prawns,d-and-d,204,Oldtid,"{'Oldtid': 178, 'Jernalder': 14, 'Historisk Tid': 5, 'Udateret': 3, 'Nyere tid': 2, 'Stenalder': 2}","En røse er en rund gravhøj, som er bygget af sten og som ofte indeholder en eller flere gravkamre.","['https://trap.lex.dk/Gravr%C3%B8se,_Frederiksh%C3%A5b_plantage_afd.117_-_%2314', 'https://trap.lex.dk/Gravr%C3%B8se,_Frederiksh%C3%A5b_plantage_afd.117_-_%2329']"
Vindmølle,Windmill,wind,199,Nyere tid,"{'Nyere tid': 171, 'Historisk Tid': 23, 'Middelalder': 4, 'Efterreformatorisk tid': 1}","En vindmølle er et konstruktion, der er drevet af vindkraft, og som ofte er kendetegnet ved sine store vinger og andre mekaniske konstruktioner.",['https://denstoredanske.lex.dk/vindm%C3%B8lle']
Mølledæmning,Mill Dam,fill,195,Historisk Tid,"{'Historisk Tid': 118, 'Nyere tid': 45, 'Middelalder': 23, 'Efterreformatorisk tid': 7, 'Udateret': 1, 'Vikingetid': 1}","En mølledæmning er et kildested, hvor der ofte er fundet mølresten, og som har fungeret som et centralt sted i landskabet.","['https://denstoredanske.lex.dk/vandl%C3%B8b', 'https://museumodense.dk/artikler/moellerne-i-landskabet/', 'https://www2.nst.dk/apb/2005/skovbeskr/munkemolle.htm']"
Runesten,Runestones,store,193,Vikingetid,"{'Vikingetid': 140, 'Middelalder': 27, 'Udateret': 10, 'Jernalder': 7, 'Nyere tid': 6, 'Historisk Tid': 2, 'Oldtid': 1}","En runesten er et stenalderkonstruktion, der ofte er gravet med runer, og som kan have fungeret som et gravmonument eller til religiøse formål.","['https://en.wikipedia.org/wiki/Runestone', 'https://en.wiktionary.org/wiki/runestone', 'https://www.yourdictionary.com/runestone', 'https://en.wiktionary.org/wiki/runesten', 'https://www.thefreedictionary.com/Runestone']"
Vadested,Wadden site,ad,185,Udateret,"{'Udateret': 95, 'Historisk Tid': 31, 'Oldtid': 31, 'Jernalder': 13, 'Middelalder': 8, 'Nyere tid': 4, 'Stenalder': 2, 'Vikingetid': 1}","Et vadested er et sted, hvor et vandløb kan passeres til fods, og som ofte er kendetegnet ved sine fodspor eller andre spor af menneskelig aktivitet.","['https://en.wiktionary.org/wiki/vadested', 'https://en.bab.la/dictionary/norwegian-english/vadested', 'https://en.bab.la/dictionary/danish-english/vadested', 'https://www.dinordbok.no/en/danish-english/?q=vadested', 'https://ordnet.dk/ddo/ordbog?query=vadested']"
Ovnanlæg (uspecificeret),Furnace installations (unspecified),icons,176,Jernalder,"{'Jernalder': 73, 'Oldtid': 34, 'Middelalder': 17, 'Bronzealder': 14, 'Nyere tid': 12, 'Historisk Tid': 11, 'Udateret': 5, 'Efterreformatorisk tid': 4, 'Stenalder': 4, 'Vikingetid': 2}","Et ovnanlæg er et sted, hvor der har været menneskelig aktivitet, og som ofte er kendetegnet ved sine konstruktioner, f.eks. bygninger, værktøj og andre genstande.","['https://www.tribo-logic.dk/shop/ovnanlaeg-140c1.html', 'https://www.tribo-logic.dk/shop/berutox-m-21-231p.html']"
