anlaegsbetydning,en_anlaegsbetydning,fa-icon,counts,most_frequent_datering,datering_distributions
Havn,Port,file-export,94,Historisk Tid,"{'Historisk Tid': 38, 'Middelalder': 31, 'Nyere tid': 21, 'Efterreformatorisk tid': 2, 'Udateret': 2}"
Kanal,Channel,cpanel,93,Nyere tid,"{'Nyere tid': 56, 'Historisk Tid': 14, 'Efterreformatorisk tid': 10, 'Middelalder': 6, 'Udateret': 5, 'Jernalder': 2}"
Dige (kirkegård),Dig (churchyard),church,92,Historisk Tid,"{'Historisk Tid': 63, 'Middelalder': 25, 'Nyere tid': 4}"
Dige (uspecificeret),Dig (unspecified),digg,91,Nyere tid,"{'Nyere tid': 44, 'Historisk Tid': 32, 'Udateret': 10, 'Middelalder': 4, 'Efterreformatorisk tid': 1}"
Hovedbygning,Main building,building,89,Historisk Tid,"{'Historisk Tid': 37, 'Nyere tid': 23, 'Middelalder': 18, 'Efterreformatorisk tid': 8, 'Bronzealder': 1, 'Jernalder': 1, 'Vikingetid': 1}"
Forrådshus,Farmhouse,warehouse,89,Jernalder,"{'Jernalder': 51, 'Oldtid': 23, 'Middelalder': 8, 'Bronzealder': 3, 'Nyere tid': 2, 'Udateret': 2}"
Plankekiste,Plank chest,ankh,87,Stenalder,"{'Stenalder': 37, 'Bronzealder': 17, 'Jernalder': 16, 'Vikingetid': 10, 'Oldtid': 3, 'Historisk Tid': 1, 'Middelalder': 1, 'Nyere tid': 1, 'Udateret': 1}"
Mølledam,Mølledam,leaf,87,Nyere tid,"{'Nyere tid': 54, 'Historisk Tid': 13, 'Middelalder': 8, 'Udateret': 8, 'Efterreformatorisk tid': 4}"
Pælerække (uspecificeret),Pocket (unspecified),get-pocket,87,Historisk Tid,"{'Historisk Tid': 22, 'Udateret': 16, 'Oldtid': 15, 'Nyere tid': 11, 'Middelalder': 8, 'Stenalder': 6, 'Bronzealder': 5, 'Efterreformatorisk tid': 2, 'Jernalder': 2}"
Jernbaneanlæg,Railway installations,icons,84,Nyere tid,{'Nyere tid': 84}
Bageovn,Bakery oven,dove,73,Middelalder,"{'Middelalder': 27, 'Historisk Tid': 22, 'Nyere tid': 7, 'Oldtid': 6, 'Efterreformatorisk tid': 3, 'Jernalder': 3, 'Vikingetid': 3, 'Bronzealder': 1, 'Udateret': 1}"
Landingsplads,Landing site,digg,73,Historisk Tid,"{'Historisk Tid': 59, 'Middelalder': 3, 'Vikingetid': 3, 'Efterreformatorisk tid': 2, 'Jernalder': 2, 'Nyere tid': 2, 'Oldtid': 1, 'Udateret': 1}"
Dødehus,Doomhouse,om,71,Stenalder,"{'Stenalder': 35, 'Jernalder': 13, 'Bronzealder': 11, 'Oldtid': 9, 'Vikingetid': 3}"
Skel (uspecificeret),Skel (unspecified),file,70,Historisk Tid,"{'Historisk Tid': 41, 'Nyere tid': 16, 'Middelalder': 5, 'Udateret': 5, 'Jernalder': 2, 'Efterreformatorisk tid': 1}"
Hørtørringsanlæg,Hairdressing plants,chair,69,Historisk Tid,"{'Historisk Tid': 22, 'Nyere tid': 16, 'Udateret': 12, 'Oldtid': 5, 'Jernalder': 4, 'Vikingetid': 4, 'Efterreformatorisk tid': 3, 'Middelalder': 3}"
Flinthuggeplads,Flint cutting site,cut,69,Stenalder,"{'Stenalder': 56, 'Oldtid': 7, 'Bronzealder': 5, 'Nyere tid': 1}"
Begivenhed,Event,evernote,67,Historisk Tid,"{'Historisk Tid': 47, 'Nyere tid': 17, 'Middelalder': 3}"
Vogndel,Part of a wagon,car,64,Jernalder,"{'Jernalder': 33, 'Udateret': 7, 'Oldtid': 6, 'Vikingetid': 5, 'Stenalder': 4, 'Historisk Tid': 3, 'Bronzealder': 2, 'Nyere tid': 2, 'Efterreformatorisk tid': 1, 'Middelalder': 1}"
Hulbælte,Hollowbands,ban,63,Jernalder,"{'Jernalder': 62, 'Oldtid': 1}"
Tingsted,Things to do,th,58,Historisk Tid,"{'Historisk Tid': 46, 'Nyere tid': 6, 'Middelalder': 5, 'Oldtid': 1}"
Skel (ejendom),Skel (property),opera,54,['Historisk Tid' 'Nyere tid'],"{'Historisk Tid': 15, 'Nyere tid': 15, 'Middelalder': 14, 'Udateret': 7, 'Oldtid': 2, 'Vikingetid': 1}"
Kammergrav,Chamber tomb,om,53,Vikingetid,"{'Vikingetid': 26, 'Stenalder': 13, 'Jernalder': 11, 'Bronzealder': 3}"
Trækul,Wood charcoal,chair,52,Nyere tid,"{'Nyere tid': 15, 'Historisk Tid': 14, 'Udateret': 8, 'Jernalder': 7, 'Oldtid': 4, 'Middelalder': 2, 'Bronzealder': 1, 'Efterreformatorisk tid': 1}"
Fiskegård,Fiskegård,fish,52,Stenalder,"{'Stenalder': 30, 'Historisk Tid': 7, 'Middelalder': 7, 'Oldtid': 4, 'Efterreformatorisk tid': 2, 'Udateret': 2}"
"Sekundær subsistens/produktion, uspec undergruppe","Secondary subsistence/production, unspecified subgroup",podcast,52,Oldtid,"{'Oldtid': 13, 'Nyere tid': 10, 'Middelalder': 8, 'Udateret': 6, 'Bronzealder': 4, 'Jernalder': 3, 'Stenalder': 3, 'Vikingetid': 3, 'Historisk Tid': 2}"
Vandfyldt grav,Watery Dig,at,52,Historisk Tid,"{'Historisk Tid': 47, 'Middelalder': 2, 'Udateret': 2, 'Efterreformatorisk tid': 1}"
Skibsbro,Ship bridge,ship,51,Historisk Tid,"{'Historisk Tid': 40, 'Middelalder': 5, 'Nyere tid': 5, 'Udateret': 1}"
Jættestue,Living room,om,50,Stenalder,"{'Stenalder': 47, 'Oldtid': 2, 'Vikingetid': 1}"
Handel,Trade,ad,46,Middelalder,"{'Middelalder': 17, 'Jernalder': 10, 'Historisk Tid': 8, 'Nyere tid': 4, 'Udateret': 4, 'Vikingetid': 3}"
Industrianlæg,Industrial plant,industry,46,Nyere tid,"{'Nyere tid': 42, 'Historisk Tid': 3, 'Efterreformatorisk tid': 1}"
Plankevej,Plank Road,ad,45,Middelalder,"{'Middelalder': 22, 'Udateret': 6, 'Historisk Tid': 5, 'Oldtid': 5, 'Vikingetid': 3, 'Bronzealder': 2, 'Jernalder': 1, 'Nyere tid': 1}"
Kalk,Lime,line,44,Historisk Tid,"{'Historisk Tid': 23, 'Nyere tid': 11, 'Middelalder': 6, 'Efterreformatorisk tid': 3, 'Udateret': 1}"
Platform for hus eller gård,Platform for house or farm,house-damage,44,Historisk Tid,"{'Historisk Tid': 26, 'Middelalder': 7, 'Nyere tid': 5, 'Efterreformatorisk tid': 2, 'Jernalder': 2, 'Vikingetid': 2}"
Lade,Load,ad,43,Jernalder,"{'Jernalder': 28, 'Nyere tid': 5, 'Bronzealder': 3, 'Oldtid': 3, 'Middelalder': 2, 'Udateret': 1, 'Vikingetid': 1}"
Fiskeplads,Fishing grounds,fish,42,Stenalder,"{'Stenalder': 34, 'Oldtid': 5, 'Udateret': 2, 'Nyere tid': 1}"
"Transport, uspec undergruppe","Transport, unspecified subgroup",train,40,Nyere tid,"{'Nyere tid': 13, 'Historisk Tid': 12, 'Oldtid': 6, 'Udateret': 4, 'Stenalder': 3, 'Middelalder': 2}"
Anker,Anchor,anchor,40,Nyere tid,"{'Nyere tid': 30, 'Udateret': 5, 'Historisk Tid': 3, 'Middelalder': 1, 'Vikingetid': 1}"
Ligbrændingsplads,Rectangular area,angular,40,['Bronzealder' 'Jernalder'],"{'Bronzealder': 16, 'Jernalder': 16, 'Oldtid': 8}"
Led,Led,apple,40,Nyere tid,"{'Nyere tid': 36, 'Historisk Tid': 3, 'Udateret': 1}"
Møllekanal,Møllekanal,leaf,39,Nyere tid,"{'Nyere tid': 22, 'Historisk Tid': 11, 'Middelalder': 3, 'Efterreformatorisk tid': 2, 'Udateret': 1}"
Hospital,Hospital,hospital,39,Historisk Tid,"{'Historisk Tid': 16, 'Middelalder': 15, 'Nyere tid': 7, 'Efterreformatorisk tid': 1}"
Latrin og toilet,Latrine and toilet,toilet,37,Historisk Tid,"{'Historisk Tid': 13, 'Middelalder': 10, 'Nyere tid': 9, 'Efterreformatorisk tid': 3, 'Udateret': 1, 'Vikingetid': 1}"
"Social og samfund, uspec undergruppe","Social and community, unspecified subgroup",d-and-d,36,Nyere tid,"{'Nyere tid': 25, 'Historisk Tid': 4, 'Bronzealder': 2, 'Middelalder': 2, 'Efterreformatorisk tid': 1, 'Oldtid': 1, 'Stenalder': 1}"
Luftværnsanlæg,Air conditioners,bone,36,Nyere tid,{'Nyere tid': 36}
Afløbsrende,Activating,ring,34,Nyere tid,"{'Nyere tid': 15, 'Historisk Tid': 14, 'Middelalder': 5}"
Kogestensrøse,Cooking stone,cookie,34,Oldtid,"{'Oldtid': 18, 'Jernalder': 10, 'Bronzealder': 2, 'Stenalder': 2, 'Udateret': 1, 'Vikingetid': 1}"
Skovbrug,Forestry,fire,34,Nyere tid,"{'Nyere tid': 32, 'Historisk Tid': 2}"
Glas,Glass,glass-cheers,33,Historisk Tid,"{'Historisk Tid': 9, 'Efterreformatorisk tid': 8, 'Jernalder': 6, 'Middelalder': 4, 'Udateret': 2, 'Vikingetid': 2, 'Nyere tid': 1, 'Oldtid': 1}"
Kildeanlæg,Source system,steam,33,Historisk Tid,"{'Historisk Tid': 17, 'Nyere tid': 6, 'Jernalder': 2, 'Middelalder': 2, 'Stenalder': 2, 'Udateret': 2, 'Bronzealder': 1, 'Oldtid': 1}"
Kirkeinventar,Kirkeinventare,indent,31,Middelalder,"{'Middelalder': 21, 'Historisk Tid': 8, 'Nyere tid': 1, 'Vikingetid': 1}"
Ben/Horn,Legs/Horn,less,30,Middelalder,"{'Middelalder': 15, 'Jernalder': 9, 'Vikingetid': 3, 'Udateret': 2, 'Stenalder': 1}"
Dræn,Drain,brain,29,Nyere tid,"{'Nyere tid': 26, 'Historisk Tid': 3}"
Kultanlæg med systemgrøfter,Cultivated eggs with system crops,cross,29,Stenalder,"{'Stenalder': 27, 'Jernalder': 1, 'Oldtid': 1}"
Trædesten,Treestone,tree,28,['Jernalder' 'Oldtid'],"{'Jernalder': 7, 'Oldtid': 7, 'Udateret': 6, 'Historisk Tid': 4, 'Middelalder': 2, 'Nyere tid': 2}"
Tørv,Dust,industry,28,Jernalder,"{'Jernalder': 12, 'Udateret': 7, 'Nyere tid': 4, 'Oldtid': 4, 'Stenalder': 1}"
Indskrift,Inscription,prescription,28,Nyere tid,"{'Nyere tid': 17, 'Historisk Tid': 6, 'Efterreformatorisk tid': 4, 'Middelalder': 1}"
Indsamling-/jagtplads,Collection/hunting space,spa,27,Stenalder,"{'Stenalder': 24, 'Historisk Tid': 2, 'Efterreformatorisk tid': 1}"
Levnedsmidler,Foodstuffs,poo,27,Nyere tid,"{'Nyere tid': 15, 'Historisk Tid': 4, 'Middelalder': 4, 'Efterreformatorisk tid': 1, 'Jernalder': 1, 'Stenalder': 1, 'Udateret': 1}"
"Primær fødeerhverv, uspec undergruppe","Primary industry, unspecified subgroup",industry,26,Nyere tid,"{'Nyere tid': 9, 'Historisk Tid': 4, 'Udateret': 4, 'Oldtid': 3, 'Stenalder': 3, 'Bronzealder': 1, 'Jernalder': 1, 'Middelalder': 1}"
Læder/skind,Leather,at,25,Middelalder,"{'Middelalder': 10, 'Nyere tid': 5, 'Historisk Tid': 4, 'Jernalder': 3, 'Efterreformatorisk tid': 2, 'Stenalder': 1}"
Klokkestabel/-tårn,Bell table/tear,bell,24,Middelalder,"{'Middelalder': 9, 'Historisk Tid': 8, 'Nyere tid': 6, 'Udateret': 1}"
Forsamlingsplads,Assembly seat,at,24,Nyere tid,"{'Nyere tid': 15, 'Historisk Tid': 6, 'Bronzealder': 1, 'Efterreformatorisk tid': 1, 'Oldtid': 1}"
Brændsel,Breathing,at,23,Historisk Tid,"{'Historisk Tid': 9, 'Nyere tid': 8, 'Jernalder': 2, 'Udateret': 2, 'Efterreformatorisk tid': 1, 'Middelalder': 1}"
Kultanlæg med palisader,Cultivated eggs with palisades,edge,22,Stenalder,"{'Stenalder': 20, 'Bronzealder': 1, 'Oldtid': 1}"
Have,Garden,adn,22,Nyere tid,"{'Nyere tid': 15, 'Historisk Tid': 6, 'Middelalder': 1}"
Færgested,Place of birth,th,22,Historisk Tid,"{'Historisk Tid': 18, 'Nyere tid': 3, 'Middelalder': 1}"
Skel (offentlig administration),Skel (public administration),minus,21,Nyere tid,"{'Nyere tid': 10, 'Historisk Tid': 7, 'Middelalder': 2, 'Udateret': 2}"
Flyvestation,Flight station,at,21,Nyere tid,{'Nyere tid': 21}
Fiskebod,Fishboat,at,21,Nyere tid,"{'Nyere tid': 13, 'Middelalder': 4, 'Historisk Tid': 3, 'Udateret': 1}"
Overvågningsanlæg,Monitoring plan,ring,21,Nyere tid,"{'Nyere tid': 20, 'Historisk Tid': 1}"
Sømærke,Sweetheart,heart,21,Nyere tid,"{'Nyere tid': 17, 'Historisk Tid': 2, 'Udateret': 2}"
Milepælhøj,Milestone height,weight,20,Historisk Tid,"{'Historisk Tid': 12, 'Nyere tid': 8}"
Risvej,Rice road,ad,19,Middelalder,"{'Middelalder': 5, 'Jernalder': 3, 'Oldtid': 3, 'Vikingetid': 3, 'Bronzealder': 2, 'Stenalder': 2, 'Udateret': 1}"
Vandingsanlæg,Watering plants,at,19,Nyere tid,"{'Nyere tid': 14, 'Historisk Tid': 3, 'Efterreformatorisk tid': 1, 'Udateret': 1}"
Dige (kystsikring),Dig (coastal protection),route,19,Nyere tid,"{'Nyere tid': 12, 'Historisk Tid': 3, 'Efterreformatorisk tid': 2, 'Udateret': 2}"
Kloak,Sewerage,gem,19,Nyere tid,"{'Nyere tid': 17, 'Historisk Tid': 2}"
Kommunikationsanlæg,Communications,at,19,Nyere tid,{'Nyere tid': 19}
Dyregrav,Animal grave,grav,18,Jernalder,"{'Jernalder': 6, 'Nyere tid': 4, 'Middelalder': 2, 'Vikingetid': 2, 'Efterreformatorisk tid': 1, 'Historisk Tid': 1, 'Oldtid': 1, 'Udateret': 1}"
Dambrug,Farming,ring,18,Nyere tid,"{'Nyere tid': 10, 'Historisk Tid': 5, 'Middelalder': 2, 'Efterreformatorisk tid': 1}"
Præstegård,Performance,magnet,18,Nyere tid,"{'Nyere tid': 8, 'Historisk Tid': 7, 'Middelalder': 2, 'Efterreformatorisk tid': 1}"
Krypt,Encrypt,crop,18,Historisk Tid,"{'Historisk Tid': 10, 'Nyere tid': 4, 'Efterreformatorisk tid': 3, 'Middelalder': 1}"
Jættestue med bikammer,Living room with bee chamber,hammer,18,Stenalder,{'Stenalder': 18}
Værksted,Location,at,17,Nyere tid,"{'Nyere tid': 6, 'Historisk Tid': 3, 'Jernalder': 2, 'Middelalder': 2, 'Stenalder': 2, 'Udateret': 2}"
Sejlspærring,Sailing,skiing,17,Udateret,"{'Udateret': 8, 'Middelalder': 5, 'Historisk Tid': 1, 'Jernalder': 1, 'Oldtid': 1, 'Vikingetid': 1}"
Trævarer,Wood products,road,17,Nyere tid,"{'Nyere tid': 5, 'Jernalder': 4, 'Historisk Tid': 3, 'Middelalder': 3, 'Oldtid': 1, 'Udateret': 1}"
Grus,Gravel,gavel,17,Nyere tid,"{'Nyere tid': 8, 'Historisk Tid': 3, 'Middelalder': 3, 'Jernalder': 2, 'Udateret': 1}"
Båd-/skibsværft,Boat/shipyard,at,16,['Historisk Tid' 'Jernalder'],"{'Historisk Tid': 4, 'Jernalder': 4, 'Middelalder': 3, 'Nyere tid': 2, 'Vikingetid': 2, 'Udateret': 1}"
Embedsbolig,Official residence,vial,16,Middelalder,"{'Middelalder': 8, 'Nyere tid': 4, 'Historisk Tid': 3, 'Efterreformatorisk tid': 1}"
Militærdepot,Military,amilia,15,Nyere tid,"{'Nyere tid': 14, 'Historisk Tid': 1}"
Fangstgrube,Catch pit,at,15,Nyere tid,"{'Nyere tid': 9, 'Historisk Tid': 2, 'Middelalder': 2, 'Stenalder': 1, 'Udateret': 1}"
Benhob,Benhob,ban,15,['Bronzealder' 'Jernalder' 'Oldtid'],"{'Bronzealder': 3, 'Jernalder': 3, 'Oldtid': 3, 'Udateret': 2, 'Historisk Tid': 1, 'Nyere tid': 1, 'Stenalder': 1, 'Vikingetid': 1}"
Rådhus,Rådhus,r-project,15,Historisk Tid,"{'Historisk Tid': 8, 'Middelalder': 4, 'Nyere tid': 3}"
Kors,"Oh, my God.",bold,15,Historisk Tid,"{'Historisk Tid': 8, 'Nyere tid': 5, 'Middelalder': 1, 'Vikingetid': 1}"
Øvelsesområde,Exercise area,beer,14,Nyere tid,{'Nyere tid': 14}
Stenbrud,Stone fracture,react,14,Historisk Tid,"{'Historisk Tid': 4, 'Bronzealder': 3, 'Nyere tid': 3, 'Stenalder': 3, 'Jernalder': 1}"
Gårdsplads,Garbage space,spa,14,Nyere tid,"{'Nyere tid': 6, 'Middelalder': 3, 'Historisk Tid': 2, 'Udateret': 2, 'Efterreformatorisk tid': 1}"
Sti,Path,at,14,Nyere tid,"{'Nyere tid': 5, 'Udateret': 3, 'Jernalder': 2, 'Historisk Tid': 1, 'Middelalder': 1, 'Stenalder': 1, 'Vikingetid': 1}"
Båd-/skibsgrav,Boat/ship grave,at,13,Jernalder,"{'Jernalder': 7, 'Vikingetid': 4, 'Oldtid': 1, 'Stenalder': 1}"
Sten- og grenkast,Rock-and-branch casts,code-branch,13,Historisk Tid,"{'Historisk Tid': 5, 'Jernalder': 4, 'Nyere tid': 3, 'Oldtid': 1}"
Dige (ejerlav),Dig (owner's low),low-vision,13,Historisk Tid,"{'Historisk Tid': 6, 'Nyere tid': 4, 'Udateret': 2, 'Middelalder': 1}"
Vandbeholder/Vandtårn,Water tank/Water tank,water,12,Nyere tid,{'Nyere tid': 12}
Kisteløs begravelse (jordfæste),Kisteløs Funeral (Funnel),funnel-dollar,12,['Middelalder' 'Nyere tid'],"{'Middelalder': 4, 'Nyere tid': 4, 'Jernalder': 2, 'Historisk Tid': 1, 'Oldtid': 1}"
Sagntræ,Sentence,tenge,12,Nyere tid,"{'Nyere tid': 8, 'Historisk Tid': 2, 'Udateret': 2}"
Bådhus,Boathouse,at,12,Udateret,"{'Udateret': 7, 'Vikingetid': 3, 'Nyere tid': 2}"
Rituelle pløjespor,Ritual plough tracks,laugh,11,Stenalder,"{'Stenalder': 5, 'Oldtid': 4, 'Bronzealder': 1, 'Jernalder': 1}"
Markhegn,Field fence,file,11,Historisk Tid,"{'Historisk Tid': 5, 'Oldtid': 3, 'Nyere tid': 2, 'Middelalder': 1}"
Kirkelade,Church Leave,church,11,Middelalder,"{'Middelalder': 7, 'Historisk Tid': 4}"
Kystsikring,Coast protection,route,11,Nyere tid,"{'Nyere tid': 6, 'Historisk Tid': 3, 'Udateret': 2}"
Grøft (kirkegård),Green (churchyard),church,11,Middelalder,"{'Middelalder': 9, 'Historisk Tid': 2}"
Fiskedam,Fishermen's pond,fish,11,Historisk Tid,"{'Historisk Tid': 8, 'Nyere tid': 3}"
Kro,Cinnamon,moon,10,Nyere tid,"{'Nyere tid': 5, 'Historisk Tid': 4, 'Middelalder': 1}"
Køretøj,Driving,ring,9,Jernalder,"{'Jernalder': 6, 'Oldtid': 2, 'Bronzealder': 1}"
Dige (skov),Dig (forest),gofore,9,['Historisk Tid' 'Nyere tid'],"{'Historisk Tid': 4, 'Nyere tid': 4, 'Udateret': 1}"
Fartøj,Speed,seedling,9,['Middelalder' 'Nyere tid' 'Oldtid'],"{'Middelalder': 2, 'Nyere tid': 2, 'Oldtid': 2, 'Historisk Tid': 1, 'Udateret': 1, 'Vikingetid': 1}"
Stenhuggeri,Stone sculpture,rev,9,Nyere tid,"{'Nyere tid': 6, 'Historisk Tid': 3}"
Flintmine,Flintmine,line,9,Stenalder,"{'Stenalder': 8, 'Nyere tid': 1}"
Skelsten (uspecificeret),Skelstones (unspecified),store,9,Nyere tid,"{'Nyere tid': 6, 'Historisk Tid': 2, 'Udateret': 1}"
Drivvej,Driveway,google-drive,8,Udateret,"{'Udateret': 4, 'Historisk Tid': 2, 'Middelalder': 1, 'Vikingetid': 1}"
Husmandssted,Housekeeper's place of residence,place-of-worship,8,Nyere tid,"{'Nyere tid': 6, 'Historisk Tid': 1, 'Middelalder': 1}"
Troldebakke,Troll Tray,x-ray,8,Historisk Tid,"{'Historisk Tid': 6, 'Nyere tid': 2}"
Varslingsstation,Warning station,at,8,Nyere tid,{'Nyere tid': 8}
Musling- og østersskaller,Musling and oyster shells,d-and-d,7,Stenalder,"{'Stenalder': 4, 'Oldtid': 2, 'Jernalder': 1}"
Dige (amt/sogn),Dig (county / parish),bars,7,Historisk Tid,"{'Historisk Tid': 4, 'Nyere tid': 2, 'Udateret': 1}"
Gartneri,Gartnery,yarn,7,Nyere tid,"{'Nyere tid': 5, 'Historisk Tid': 1, 'Oldtid': 1}"
Park,Park,parking,7,Nyere tid,{'Nyere tid': 7}
Bedding,Bedding,bed,7,Nyere tid,"{'Nyere tid': 5, 'Historisk Tid': 2}"
Søfort,Sourcing,grin,6,['Historisk Tid' 'Nyere tid'],"{'Historisk Tid': 3, 'Nyere tid': 3}"
Kampplads,Fightground,undo,6,['Historisk Tid' 'Middelalder'],"{'Historisk Tid': 2, 'Middelalder': 2, 'Efterreformatorisk tid': 1, 'Nyere tid': 1}"
Fængsel,Number of children,child,6,Nyere tid,{'Nyere tid': 6}
Muret grav,Walled Dig,digg,6,Middelalder,"{'Middelalder': 4, 'Historisk Tid': 2}"
Jordfæste på træunderlag,Soil on wooden floors,toggle-on,6,Stenalder,"{'Stenalder': 4, 'Jernalder': 2}"
Gravkapel,Gravcapel,grav,6,Nyere tid,"{'Nyere tid': 3, 'Historisk Tid': 1, 'Middelalder': 1, 'Udateret': 1}"
Anlæg afventer klassifikation,Awaiting classification,cat,6,Udateret,"{'Udateret': 4, 'Nyere tid': 1, 'Oldtid': 1}"
Staldbygning,Building of stables,building,6,Nyere tid,"{'Nyere tid': 4, 'Historisk Tid': 2}"
Stademærke,Stadium brand,ad,6,Nyere tid,{'Nyere tid': 6}
Vandværk,Watercraft,at,6,Nyere tid,{'Nyere tid': 6}
Spang,Spang,spa,5,Udateret,"{'Udateret': 3, 'Nyere tid': 2}"
Kampanlæg,Kampanæg,google-plus-g,5,Nyere tid,{'Nyere tid': 5}
Fattiggård,Poor,poo,5,Nyere tid,{'Nyere tid': 5}
Skole,School,school,5,Nyere tid,"{'Nyere tid': 2, 'Efterreformatorisk tid': 1, 'Historisk Tid': 1, 'Middelalder': 1}"
Flådebase/-havn,Fleetbase/port,bars,5,Nyere tid,"{'Nyere tid': 3, 'Efterreformatorisk tid': 1, 'Historisk Tid': 1}"
Kildeblok,Source Block,lock,5,Historisk Tid,"{'Historisk Tid': 4, 'Stenalder': 1}"
Gadekær,Street furniture,tree,5,['Historisk Tid' 'Middelalder'],"{'Historisk Tid': 2, 'Middelalder': 2, 'Nyere tid': 1}"
Kaserne,The Casians,th,5,Nyere tid,"{'Nyere tid': 4, 'Historisk Tid': 1}"
Navnetræ,Name,camera,4,['Historisk Tid' 'Nyere tid'],"{'Historisk Tid': 2, 'Nyere tid': 2}"
Kartoffelkule,Potato-cule,at,4,Nyere tid,{'Nyere tid': 4}
Rørledning,Radiation,radiation,3,Historisk Tid,"{'Historisk Tid': 2, 'Nyere tid': 1}"
Luftfartøj,Aviation,at,3,Nyere tid,"{'Nyere tid': 2, 'Vikingetid': 1}"
Pinsebod,Pinsebod,bold,3,Udateret,"{'Udateret': 2, 'Historisk Tid': 1}"
Kag,Cake,birthday-cake,3,Historisk Tid,"{'Historisk Tid': 2, 'Nyere tid': 1}"
Replica,Replica,republican,3,Nyere tid,"{'Nyere tid': 2, 'Historisk Tid': 1}"
Udflyttergård,Exodus work,bus,3,Nyere tid,{'Nyere tid': 3}
Pakhus,Packing house,parking,3,Nyere tid,"{'Nyere tid': 2, 'Historisk Tid': 1}"
Mole,Mole,mobile,3,['Historisk Tid' 'Nyere tid' 'Udateret'],"{'Historisk Tid': 1, 'Nyere tid': 1, 'Udateret': 1}"
Dansehøj,Dance tool,tools,3,Nyere tid,"{'Nyere tid': 2, 'Udateret': 1}"
Stejleplads,Steeping space,spa,3,Middelalder,"{'Middelalder': 2, 'Nyere tid': 1}"
Pesttjørn,Pesticide residues [2]For the determination of residues in the feed additive and in feed flavouring premixtures:,d-and-d-beyond,3,Nyere tid,{'Nyere tid': 3}
Bom,Boom,om,3,Nyere tid,"{'Nyere tid': 2, 'Historisk Tid': 1}"
Toldsted,Customs office,om,3,Nyere tid,"{'Nyere tid': 2, 'Historisk Tid': 1}"
Teater,Theatre,at,3,Nyere tid,{'Nyere tid': 3}
Modstandskampen,The Resistance Fight,the-red-yeti,3,Nyere tid,{'Nyere tid': 3}
Administrationsbygning,Administration building,building,2,['Historisk Tid' 'Nyere tid'],"{'Historisk Tid': 1, 'Nyere tid': 1}"
Fontæne,Fountain,mountain,2,Nyere tid,{'Nyere tid': 2}
Perlefremstilling,Pearl production,road,2,['Jernalder' 'Vikingetid'],"{'Jernalder': 1, 'Vikingetid': 1}"
Bådplads i vandkant/Kås,Water edge/Clock space,clock,2,['Nyere tid' 'Udateret'],"{'Nyere tid': 1, 'Udateret': 1}"
Korntørreovn,Corner oven,clone,2,['Bronzealder' 'Middelalder'],"{'Bronzealder': 1, 'Middelalder': 1}"
Arbejderbolig,Workers' housing,ring,2,['Jernalder' 'Nyere tid'],"{'Jernalder': 1, 'Nyere tid': 1}"
Lejrplads,Campsite,paste,2,['Historisk Tid' 'Nyere tid'],"{'Historisk Tid': 1, 'Nyere tid': 1}"
Fyr,Fire,fire,2,Nyere tid,{'Nyere tid': 2}
Skulptur,Sculpture,rev,2,Nyere tid,{'Nyere tid': 2}
Brunkulsleje,Brown coal bearing,ring,2,Nyere tid,{'Nyere tid': 2}
Gangareal,Walking area,walking,2,['Historisk Tid' 'Middelalder'],"{'Historisk Tid': 1, 'Middelalder': 1}"
Badehus,Bathroom,at,1,Nyere tid,{'Nyere tid': 1}
Majtræ,Majtree,tree,1,Nyere tid,{'Nyere tid': 1}
Papir,Paper,hand-paper,1,Nyere tid,{'Nyere tid': 1}
Dige (udskiftning),Dig (Replacement),peace,1,Nyere tid,{'Nyere tid': 1}
Domhus,Courthouse,th,1,Nyere tid,{'Nyere tid': 1}
Tankanlæg,Tank installations,ankh,1,Nyere tid,{'Nyere tid': 1}
El-anlæg,Electric plant,eject,1,Nyere tid,{'Nyere tid': 1}
Nødanlæg,Needles,less,1,Nyere tid,{'Nyere tid': 1}
Fortøjningspæl,Continuation rate,atom,1,Nyere tid,{'Nyere tid': 1}
Korntørreanlæg,Cereal eggs,egg,1,Oldtid,{'Oldtid': 1}
Missionshus,Mission House,user,1,Nyere tid,{'Nyere tid': 1}
Sejlløb,Sailing,skiing,1,Vikingetid,{'Vikingetid': 1}
Kommandoanlæg,Command Layers,om,1,Nyere tid,{'Nyere tid': 1}
Naturgas,Natural gas,at,1,Nyere tid,{'Nyere tid': 1}
Vandpumpe,Water pump,at,1,Historisk Tid,{'Historisk Tid': 1}
Jagthytte,Hunting cabin,ring,1,Udateret,{'Udateret': 1}
Kirkestald,Church Hall,church,1,Middelalder,{'Middelalder': 1}
Sarkofag,Sarcophagus,usb,1,Middelalder,{'Middelalder': 1}
Hestemølle,Horse mold,horse,1,Nyere tid,{'Nyere tid': 1}
Tovværk,Clothing,th,1,Historisk Tid,{'Historisk Tid': 1}
Varmeanlæg,Heating systems,at,1,Historisk Tid,{'Historisk Tid': 1}
Sprøjtehus,Blow house,user,1,Nyere tid,{'Nyere tid': 1}
Dige (herregård),You (lord),cloud-sun,1,Historisk Tid,{'Historisk Tid': 1}
Sportsanlæg,Sports staff,sort,1,Nyere tid,{'Nyere tid': 1}
